189069,17034097,10,유민이 눈빛이 영화를 한 픙 더 빛나게 했습니다.이정재 연기지만 아직도 심장이 벌렁거리고 꿈에 나올까 무섭고 황정민 인간미가 느껴지는 모습 여운이 남습니다. 게이역할도 넘 훌륭했구요덕분에 휴가 기분 만끽했습니다^^
189069,17034091,10,최고~~  이정재와황정민그리고  박정민~~이 조합  옳다!!
189069,17034090,7,"황정민 짠하고 ,, 이정재 무섭구 박정민ㅋㅋㅋ 너무 웃겼어요 오랜만에 영화보며 웃었네요"
189069,17034086,10,완전강추  황정민 이정재만 보인다  독보적이다액션신 쩔고 최근 지대로 만든영화인듯잼나게 지루할틈없이 잘본거같음
189069,17034085,10,"어제 보고 오늘 또 봤는데 역시 재밌다 재미 없다는 사람이 있겠지만 나는 너무 재밌었다 내 스타일 영화 액션 좋아하는데 이런 칼싸움하는 액션이 너무 좋다 이정재, 황정민 배우에 별로 관심 없었는데 이번 영화 보고 좀 좋아하게 될 것 같다 이정재 배우 섹시하고 황정민 배우도 잘생겼고 박정민 배우는 원래 내가 좋아하는 배우 ㅎㅎ 그나저나 박정민 배우 연기 진짜 잘 하는 걸 새삼 다시 한번 실감했다 또 볼지도 모르겠다"
189069,17034083,10,
189069,17034080,2,억지감동에 억지스토리 ...배우들연기도 못살린영화입니다.제작비가 어디로갔는지도 의문이엿음.영화보다 사람들 많이나감.
189069,17034079,10,"타격감이 너무 쩐다.,,...,?"
189069,17034078,8,황정민과 이정재의 케미가 돋보이는 투톱영화
189069,17034077,10,
188909,17034096,1,130만관객?? 130만이 좌절한 영화임. 진짜 최악. 절대절대 보지마세요. 영구와땡칠이 소림사 간다를 다시 보는게 현명할듯. 아우 돈 시간아까워. 이래서 리플 믿어야함!!!ㅠㅠ
188909,17034095,1,전형적인 좌빨 북한미화영화 ㅋㅋㅋ 누가 잘생긴 김제동아니랄까봐 이딴영화에나 나오네 정우성 ㅋㅋㅋ
188909,17034093,1,좌파중 극좌파인 정우성이 민주주의 대통령으로 나오다니 ㅋㅋㅋㅋ역할선정 좀 바로했으면 적당히 어울려야지 걍 북한수령님으로 나오지왜 잘어울리는데 한마디로 똥망작!!!돈아깝다
188909,17034089,1,댓글 알바들이 힘들게 사수하고 있는 영화입니다. 그런데도 폭망중입니다. 클레멘타인이 차라리 더 낫습니다. 댓글 알바들 평점에 속지마세요. 차라리 관람료 아껴서 고기 사드세요.
188909,17034084,10,생각보다 재밌었어요 사회영화로 추천하고 싶네요
188909,17034066,1,쓰레기 같은 내용을 담은 최악의 영화
188909,17034056,10,우리 운명을 결정할 수 없다는 현실이 눈물이 ㅠㅠ 일베충들은 보고 공부 쫌 해라
188909,17034019,10,1을 안보고도 재밌게 볼수 있었던 영화였어용
188909,17034018,9,스토리 몰입감 최고~~ 끝까지 보세요. 볼만해요~
188909,17034016,10,강철비1과 다른 전개생각 못했던 부분을 찝어줘 대한민국의 외교에 대해 생각을 다시 하게 함
185917,17034055,10,신파가 좀 긴 면이 없지 않지만 전개상 필요했고 개인적으로 부산행보다 진일보된 영화라 봄
185917,17034012,5,기대를 너무 많이 했나보네요.
185917,17034011,4,어랏. 스토리가 이상해서 감독이 바꼈나 했는데 아니군. 극본이 바꼈나보군. 비추천. 평점 낮은 이유가 다있음.
185917,17033996,10,"부산행에 비해 스토리가 딸리는 것은 사실입니다...하지만 같은 세계관만 공유한다고 생각하고 보았는데 정말 감동적이였습니다. 부산행이 인간과 좀비, 인간과 인간 사이의 갈등이 1:1이였다면 반도는 인간과의 갈등이 주를 이룹니다. 특히 631부대가 왜 인간성을 상실했을까, 들개라고 하는 반도에서 살아남아 나름의 생활을 해나가는 사람들에게 감정이입을 하면 코로나19의 상황과 매우 유사하다는 점을 느낄 수 있었습니다. 우리가 꺼리고 배척하는 코로나19 의심자와 확진자는 반도의 좀비와 매우 유사한 점을 지니고 있다는 것을. 좀비는 자신이 원해서 그렇게 된 걸까요? 좀비는 자신의 상황을 자각할 수 있는 상황이였을까요? 이 영화는 스토리와 인물의 대사와 행동을 통해서도 감동을 전해주지만 그것보다 더 크게 와닿는 것은 우리가 일상생활에서 피하고, 차별하는 소수자들의 입장입니다. 당사자의 입장을 다시 한 번 생각해보고 한번 더 배려하게 되는 영화였습니다."
185917,17033987,2,공짜표있음 보시고 돈내고 보심 아까울겁니다
185917,17033976,6,임모탄과 기타리스트가 아쉽다. 김태원 형님이라도 모셔서 OST 업그레이드 ㄱㄱ
185917,17033955,10,모하비 차주입니다아주 사실적인 훌륭한 영화네요
185917,17033953,2,좀비영화라고 볼순 없고. 내용이..배우들 연기가 아까운 수준을 넘어 화가 날 정도.갠적으로 정말 역대 최악의 한국영화 중 하나네요.ㅠㅠ 매드맥스는 얼어죽을..
185917,17033951,8,나름 시간 가는줄 모르고 재미있게 봤습니다
185917,17033947,8,신파 빼고 존잼.. 좀비판 매드맥스..
134824,17033923,10,내가 할리우드에서 제일 좋아하는 부부♡
134824,17033846,10,아이들과 함께 보기 좋은 영화입니다. 마술이 좋은 일에 쓰여지면 세상이 아름다워집니다.
134824,17033678,9,어른이 봐도 재밌네요~~
134824,17033655,10,감독과 제작진이 만든 영화를  다 보았기에 기대가 되었어요딸아이 쥬토피아보다 더 재미있었다고음악도 완전 좋았고 자식을 지키려는 주인공의 모습이 감동적이였다고 말하네요친구들과 함께 보았는데 모든 만족한 영화였어요^^
134824,17033422,10,저도 애니멀크래커를 갖고 싶어지더라니깐요~~~^^넘 재밌었었어요ㅎㅎ 동심으로 돌아간 기분♡
134824,17032698,6,재미있었어요아들이좋아했어요
134824,17032149,2,오웬은 일상생활이 지루했고 나는 영화가 지루했다ㅡ.ㅡ
134824,17032099,9,6세아이랑 함께봤어요.아이랑 함께본 영화중. 제가 안졸고 본 첫영화인거같네요.중간에 살짝 지루하려다 막판가며 흥미진진해 지더라구요.덕분에 방학하루 잘 보냈습니다.
